Departament,semester,code,name,cred,class,vacancies,occupied,day,start,length,prof,campus,building,room
DELET,2025 - I,ENG04077,CIRCUITOS ELETRÔNICOS I,6,B,8,8,Ter,15:30,2,HAMILTON DUARTE KLIMACH,centro,Eletro,202
DELET,2025 - I,ENG04077,CIRCUITOS ELETRÔNICOS I,6,B,8,8,Qui,10:30,2,HAMILTON DUARTE KLIMACH,centro,Eletro,303
DELET,2025 - I,ENG04077,CIRCUITOS ELETRÔNICOS I,6,C,8,8,Ter,10:30,2,HAMILTON DUARTE KLIMACH,centro,Eletro,303
DELET,2025 - I,ENG04077,CIRCUITOS ELETRÔNICOS I,6,C,8,8,Qui,10:30,2,HAMILTON DUARTE KLIMACH,centro,Eletro,303
DELET,2025 - I,ENG04077,CIRCUITOS ELETRÔNICOS I,6,C,8,8,Qui,15:30,2,TIAGO ROBERTO BALEN,centro,Eletro,202
DELET,2025 - I,ENG04078,CIRCUITOS ELETRÔNICOS II,4,A,8,5,Seg,13:30,2,ADALBERTO SCHUCK JUNIOR,centro,Eletro,304
DELET,2025 - I,ENG04078,CIRCUITOS ELETRÔNICOS II,4,A,8,5,Seg,15:30,2,ADALBERTO SCHUCK JUNIOR,centro,Eletro,202
DELET,2025 - I,ENG04078,CIRCUITOS ELETRÔNICOS II,4,B,8,8,Seg,13:30,2,ADALBERTO SCHUCK JUNIOR,centro,Eletro,304
DELET,2025 - I,ENG04078,CIRCUITOS ELETRÔNICOS II,4,B,8,8,Qua,13:30,2,ADALBERTO SCHUCK JUNIOR,centro,Eletro,202
DELET,2025 - I,ENG04078,CIRCUITOS ELETRÔNICOS II,4,C,8,6,Seg,13:30,2,ADALBERTO SCHUCK JUNIOR,centro,Eletro,304
DELET,2025 - I,ENG04078,CIRCUITOS ELETRÔNICOS II,4,C,8,6,Sex,15:30,2,ADALBERTO SCHUCK JUNIOR,centro,Eletro,202
DELET,2025 - I,ENG04061,CIRCUITOS ELETRÔNICOS INTEGRADOS,4,U,10,1,Seg,8:30,2,Paulo Francisco Butzen,undef,undef,undef
DELET,2025 - I,ENG04061,CIRCUITOS ELETRÔNICOS INTEGRADOS,4,U,10,1,Qua,8:30,2,RAPHAEL MARTINS BRUM,undef,undef,undef
